OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GPS BIIR-2  (PRN 13),1997-035A,2024-03-31T12:00:07.216128,2.00565535,.0076853,55.6441,130.1682,52.0643,308.6990,0,U,24876,999,19575,0,.45E-6,0
GPS BIIR-4  (PRN 20),2000-025A,2024-03-31T21:19:12.751392,2.00554187,.0038432,54.6079,52.0323,213.9979,154.7709,0,U,26360,999,17507,0,-.24E-6,0
GPS BIIR-5  (PRN 22),2000-040A,2024-03-31T14:34:59.036736,2.00559043,.0145858,55.1027,247.2697,294.4564,72.7199,0,U,26407,999,17375,0,.44E-6,0
GPS BIIR-8  (PRN 16),2003-005A,2024-03-31T10:09:28.747296,2.00553967,.0138247,55.1424,247.0878,47.1496,323.3831,0,U,27663,999,15511,0,.45E-6,0
GPS BIIR-9  (PRN 21),2003-010A,2024-03-31T14:26:11.637312,2.00559942,.0253927,55.1076,356.9228,325.1992,31.7531,0,U,27704,999,15390,0,-.79E-6,0
GPS BIIR-11 (PRN 19),2004-009A,2024-03-30T15:18:44.373312,2.00561241,.0095157,55.5202,308.1720,144.4538,177.8723,0,U,28190,999,14675,0,-.16E-6,0
GPS BIIR-13 (PRN 02),2004-045A,2024-03-31T14:57:59.372640,2.00560005,.0163139,55.4357,357.3146,290.2608,69.1040,0,U,28474,999,14222,0,-.79E-6,0
GPS BIIRM-1 (PRN 17),2005-038A,2024-03-31T09:49:34.137696,2.00560874,.0136678,55.5670,305.6000,283.7805,260.1725,0,U,28874,999,13563,0,-.8E-7,0
GPS BIIRM-2 (PRN 31),2006-042A,2024-03-31T20:57:36.857664,2.00560163,.0103723,54.6766,183.3500,37.2360,21.8950,0,U,29486,999,12835,0,.13E-6,0
GPS BIIRM-3 (PRN 12),2006-052A,2024-03-30T17:22:41.359584,2.00562658,.0087083,55.1709,246.0879,81.7762,279.1824,0,U,29601,999,12719,0,.44E-6,0
GPS BIIRM-4 (PRN 15),2007-047A,2024-03-31T12:36:26.498016,2.00568437,.015247,53.5654,113.4657,74.1556,287.5750,0,U,32260,999,12061,0,.44E-6,0
GPS BIIRM-5 (PRN 29),2007-062A,2024-03-31T02:11:28.692384,2.00570166,.0026207,55.7047,306.4645,147.0161,26.7803,0,U,32384,999,11930,0,-.1E-6,0
GPS BIIRM-6 (PRN 07),2008-012A,2024-03-29T22:46:41.421792,2.00565621,.0184278,54.4480,182.2088,237.8654,120.3765,0,U,32711,999,11752,0,.25E-6,0
GPS BIIRM-8 (PRN 05),2009-043A,2024-03-30T17:18:30.284640,2.00574046,.0055037,55.6113,59.4031,69.7618,142.9270,0,U,35752,999,10714,0,-.12E-6,0
GPS BIIF-1  (PRN 25),2010-022A,2024-03-30T22:23:28.068000,2.00572734,.0116111,54.4773,241.1581,61.6129,66.4172,0,U,36585,999,10138,0,.42E-6,0
